px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_gt	py_gt	v_gt	yaw_gt	yawrate_gt	vx_gt	vy_gt	NIS_laser	NIS_radar
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0.00691132	5.19994	0	0	0
0.714343	0.588512	7.07429	1.10763e-17	-1.93672e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.000345566	0.0138215	5.19975	0.00179686	0	74.3391
1.16102	0.493478	7.07668	-0.0688145	-0.00827248	1.17385	0.481073	1.11998	0.600225	5.19943	0.00103664	0.0207296	5.19943	0.00538996	0.184996	74.3391
1.27665	0.513682	7.07176	0.19202	0.038692	0.969149	0.397513	1.37996	0.600629	5.19899	0.00207312	0.0276344	5.19898	0.0107781	0.184996	1.81005
1.61358	0.594651	7.09102	0.245129	0.0529224	1.65063	0.62469	1.6399	0.601347	5.19842	0.00345484	0.0345348	5.19839	0.0179597	0.201401	1.81005
1.82135	0.569769	6.33569	0.0936202	-0.0570593	1.62331	0.499091	1.89982	0.60247	5.19773	0.00518158	0.0414297	5.19766	0.0269323	0.201401	4.24124
2.15299	0.616066	6.35023	0.108345	-0.0292503	2.18882	0.648739	2.1597	0.604086	5.19691	0.00725307	0.0483182	5.19678	0.0376932	0.16029	4.24124
2.36899	0.643392	5.59281	0.0898618	-0.211526	1.96701	0.557117	2.41954	0.606284	5.19597	0.00966898	0.0551989	5.19573	0.0502389	0.16029	7.75644
2.64778	0.666435	5.59544	0.0784166	-0.215671	2.65526	0.66598	2.67932	0.609155	5.19491	0.0124289	0.062071	5.1945	0.0645654	0.00332128	7.75644
2.91484	0.656375	5.51085	0.0210031	-0.414804	2.92034	0.645898	2.93904	0.612786	5.19372	0.0155325	0.0689333	5.19309	0.080668	0.00332128	0.486352
3.15003	0.653857	5.46808	0.00545278	-0.388937	3.01222	0.637046	3.19869	0.617267	5.19241	0.0189791	0.0757847	5.19147	0.0985415	1.08925	0.486352
3.43784	0.546235	5.50403	-0.157222	-0.871615	3.56096	0.485311	3.45825	0.622685	5.19097	0.0227684	0.0826241	5.18963	0.11818	1.08925	1.50494
3.74286	0.431308	5.57726	-0.287604	-1.13629	3.89365	0.311793	3.71772	0.62913	5.18942	0.0268996	0.0894504	5.18754	0.139576	2.24339	1.50494
4.02229	0.517057	5.54041	-0.143028	-0.570903	4.19786	0.698311	3.97708	0.636689	5.18775	0.0313721	0.0962627	5.18519	0.162724	2.24339	4.06012
4.29632	0.508198	5.52278	-0.13782	-0.487743	4.30935	0.578564	4.23632	0.645449	5.18595	0.0361852	0.10306	5.18256	0.187614	0.337231	4.06012
4.55609	0.544496	5.43423	-0.0958035	-0.339982	4.61908	0.68951	4.49542	0.655498	5.18405	0.0413382	0.10984	5.17962	0.214238	0.337231	1.92706
4.74258	0.65389	5.25992	0.0106725	-0.0758767	4.35143	0.899174	4.75437	0.666921	5.18202	0.0468302	0.116604	5.17634	0.242587	12.4084	1.92706
4.99469	0.652234	5.19233	0.0014409	-0.0864704	5.20901	0.66599	5.01315	0.679804	5.17988	0.0526604	0.123349	5.1727	0.272649	12.4084	1.76125
5.29625	0.647135	5.24939	-0.00891379	-0.0989076	5.51894	0.648233	5.27175	0.694234	5.17763	0.0588279	0.130074	5.16867	0.304413	2.62935	1.76125
5.55454	0.65398	5.27603	-0.00445079	-0.0816157	5.22834	0.639362	5.53013	0.710295	5.17526	0.0653316	0.136779	5.16422	0.337868	2.62935	1.73789
5.84883	0.668908	5.31331	0.00176033	-0.0653809	6.022	0.708619	5.78828	0.728072	5.17278	0.0721706	0.143463	5.15932	0.372999	1.67396	1.73789
6.09205	0.594606	5.24605	-0.0523164	-0.145858	5.89392	0.373584	6.04618	0.747647	5.1702	0.0793437	0.150124	5.15393	0.409793	1.67396	3.61575
6.34699	0.707817	5.21991	0.0218916	-0.0235217	6.34249	0.948833	6.30379	0.769103	5.16751	0.0868499	0.156761	5.14803	0.448233	3.95417	3.61575
6.59765	0.738281	5.18058	0.0355366	-0.00239139	6.62134	0.836138	6.5611	0.792523	5.16471	0.0946879	0.163373	5.14157	0.488305	3.95417	0.604042
6.84521	0.737104	5.16758	0.029749	-0.00998598	6.78214	0.714036	6.81808	0.817988	5.1618	0.102857	0.169959	5.13452	0.52999	0.241036	0.604042
7.08891	0.719854	5.08652	0.0142137	-0.0306214	7.29121	0.630741	7.07469	0.845578	5.1588	0.111355	0.176519	5.12685	0.573269	0.241036	2.94542
7.30883	0.803291	5.03907	0.0572425	0.0269487	7.13735	0.957217	7.3309	0.875373	5.15569	0.120181	0.183051	5.11851	0.618123	3.16605	2.94542
7.60044	0.813536	5.14545	0.0558184	0.0234115	8.08349	0.819605	7.58668	0.907449	5.15249	0.129333	0.189554	5.10946	0.664531	3.16605	4.42724
7.85073	0.793609	5.13763	0.0395662	0.00243841	7.80533	0.719126	7.84199	0.941886	5.14919	0.138811	0.196027	5.09966	0.712469	0.464374	4.42724
8.10092	0.81003	5.08158	0.0422356	0.00478365	8.40453	0.884557	8.0968	0.978759	5.14579	0.148612	0.202468	5.08907	0.761915	0.464374	2.39124
8.3384	0.828403	5.0609	0.0466622	0.00981433	8.24796	0.840322	8.35106	1.01814	5.14231	0.158735	0.208879	5.07766	0.812843	0.438176	2.39124
8.6067	0.912098	5.15001	0.0818242	0.0501303	8.45858	1.41118	8.60472	1.06011	5.13873	0.169179	0.215255	5.06537	0.865226	0.438176	7.11529
8.84413	0.970967	5.12677	0.102398	0.0706134	8.74615	1.04858	8.85775	1.10473	5.13507	0.179942	0.221599	5.05216	0.919037	0.905944	7.11529
9.13317	1.00728	5.18443	0.109226	0.0739319	9.8809	1.1419	9.1101	1.15208	5.13132	0.191022	0.227907	5.03798	0.974245	0.905944	6.78865
9.37047	1.04209	5.15882	0.116387	0.0779671	9.25579	1.04913	9.36172	1.20223	5.12748	0.202417	0.234179	5.0228	1.03082	0.690579	6.78865
9.64958	1.11038	5.2107	0.136171	0.0951686	10.1016	1.52474	9.61255	1.25524	5.12357	0.214126	0.240414	5.00656	1.08873	0.690579	4.66312
9.92306	1.23567	5.24088	0.179272	0.13676	10.0484	1.44598	9.86254	1.31118	5.11958	0.226147	0.246611	4.98922	1.14794	3.58681	4.66312
